                                            List of databases
           Name           |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
 jshatte_prac_01          | jshatte       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 jshep_prac1              | jshepha3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 jss                      | pkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 kawun_prac_01            | mkawun        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 kgregor8                 | kgregor8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 kgregor8_library         | kgregor8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 kgregor8_prac_01         | kgregor8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 kweaver_prac_01          | kweaver       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lallcockTest             | lallcock      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lallcock_prac_01         | lallcock      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 leacture4_alovitt        | alovitt       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lec4_nanni               | nanni         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture2                 | esadgro2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4                 | esadgro2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_                | esadgro2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_dmenheni        | dmenheni      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_eboyd           | eboyd5        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_ijackso3        | ijackso3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_jamore2         | jamore2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_jbijesh         | jbijesh       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_jdickie3        | jdickie3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_joleary7        | joleary7      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_jshatte         | jshatte       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_jthoms22        | jthoms22      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_khutch23        | khutch23      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_ldayes          | ldayes        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_lp              | lpercy2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_mgeorg24        | mgeorg24      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_pbaral          | pbaral3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_riar            | dharwin       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_srodd           | srodd         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_test            | esadgro2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 lecture4_trippem         | mtrippe       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 library                  | elee31        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 library_cflint4          | cflint4       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mcampb58_prac_01         | mcampb58      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 medwar52_prac_01         | medwar52      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 medwar52_quiz            | medwar52      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mf24_l4                  | mfrase24      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mf24_p01                 | mfrase24      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mgale8_prac01            | mgale8        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mhay23_prac1             | mhay23        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mk_prac_01               | mkawun        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mkaur32_prac_01          | mkaur32       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mkawun                   | mkawun        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mkurdi_p1                | mkurdi        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mmoppet2_prac_01         | mmoppet2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mmoppet2_prac_01_library | mmoppet2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mturnb22                 | mturnb22      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mturnb22_prac_01         | mturnb22      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mwe1ch8                  | kkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mwe1ch8_prac_01          | pkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
