                                                 List of databases
                Name                 |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
 ahewitt8_apps                       | ahewitt8_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewitt8_apps_exercise_2            | ahewitt8_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewitt8_apps_prac_4                | ahewitt8_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewitt8_apps_prac_4.1              | ahewitt8_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewitt8_prac-01                    | ahewitt8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewitt8_prac_01                    | ahewitt8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewitt8_prac_02                    | ahewitt8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewitt8_pracass1                   | ahewitt8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewitt8_pracass1.2                 | ahewitt8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahewittt                            | ahewitt8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahishahar_books                     | ashahar       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahishahar_l4                        | ashahar       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahishahar_tut1                      | ashahar       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahprac_01                           | ahewitt8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_a1q2                         | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_apps_pa2                     | alee44_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_apps_prac_4                  | alee44_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_db1                          | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_p2                           | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_passign_1                    | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_prac_02                      | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_prac_03                      | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee_prac01_LD                      | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee_prac_01                        | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alovittp1                           | alovitt       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 amrit_01                            | amritve       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 amrit_p4                            | amritve       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 amritp1_example                     | amritve       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 amritve_apps_prac_4                 | amritve_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ap1                                 | dharwin       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 aschof20                            | aschof20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 aschof20_apps_prac_4                | aschof20_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 aschof20_moviedb                    | aschof20_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 aschof20_prac_01                    | aschof20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 aschof20_prac_02                    | aschof20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 asd                                 | rsidhu3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ashahar_apps_a3                     | ashahar_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ashahar_apps_prac4                  | ashahar_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ashahar_cosc210_a2                  | ashahar       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 asingh46_prac_01                    | asingh46      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ass1                                | srodd         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ass1_srodd                          | srodd         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ass1sql                             | edupless      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assign01_jamore2                    | jamore2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assign1_nanni                       | nanni         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assign1_nasiba                      | nanni         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assign_1_nanni                      | nanni         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assign_1_nasiba                     | nanni         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assignment                          | abuyagaw      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assignment1                         | nanni         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assignment1_nanni                   | nanni         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assignment1_practice_jvaugha6       | jvaugha6      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assignment_1_jthoms22               | jthoms22      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 assignment_test                     | ctoo3         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 astory3_apps_p2                     | astory3_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 astory3_p2                          | astory3_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 astory3_prac_01                     | astory3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 astory_p1                           | astory3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 aunda                               | rsidhu3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
